Date,Open,High,Low,Close,Adj Close,Volume
2021-02-23,563.010010,569.549988,535.580017,565.679993,565.355225,9794500
2021-02-24,564.909973,580.270020,550.239990,579.960022,579.627075,11208000
2021-02-25,561.820007,574.989990,528.650024,532.299988,531.994385,20610900
2021-02-26,550.099976,554.179993,534.440002,548.580017,548.265076,12523300
2021-03-01,555.000000,557.000000,542.130005,553.669983,553.352112,8829600
2021-03-02,556.000000,556.820007,535.840027,536.250000,535.942139,6602900
2021-03-03,537.049988,538.059998,511.950012,512.190002,511.895935,9439800
2021-03-04,512.030029,519.000000,483.350006,494.809998,494.525909,14333600
2021-03-05,502.000000,502.000000,467.170013,498.459991,498.173828,13571000
2021-03-08,498.000000,498.850006,462.660004,463.730011,463.463806,13577800
2021-03-09,485.209991,504.670013,482.369995,500.809998,500.695251,13045600
2021-03-10,513.619995,519.200012,498.299988,498.730011,498.615753,9609400
2021-03-11,518.000000,521.849976,509.380005,519.739990,519.620911,7497900
2021-03-12,505.929993,515.549988,503.600006,514.239990,514.122192,6099100
2021-03-15,514.590027,528.270020,510.690002,527.650024,527.529114,5549700
2021-03-16,534.260010,540.500000,524.669983,531.650024,531.528198,6803200
2021-03-17,521.590027,538.130005,519.580017,533.650024,533.527771,6096600
2021-03-18,525.460022,527.359985,508.679993,508.899994,508.783386,7347400
2021-03-19,510.000000,516.859985,504.500000,513.830017,513.712280,7480200
2021-03-22,516.510010,535.780029,516.270020,527.450012,527.329163,7445100
2021-03-23,530.169983,533.780029,520.849976,522.830017,522.710205,5551200
2021-03-24,526.049988,526.369995,505.470001,505.720001,505.604126,6146000
2021-03-25,499.980011,508.589996,490.880005,501.410004,501.295135,7378600
2021-03-26,502.179993,514.250000,494.940002,513.570007,513.452332,9099200
2021-03-29,512.809998,522.500000,508.000000,517.929993,517.811340,6838000
2021-03-30,513.679993,519.010010,508.200012,514.869995,514.752014,5005100
2021-03-31,520.619995,538.820007,519.299988,533.929993,533.807678,7869400
2021-04-01,542.890015,554.799988,540.450012,552.469971,552.343384,7706900
2021-04-05,554.700012,560.559998,549.320007,559.500000,559.371826,6391800
2021-04-06,559.989990,562.169983,550.940002,554.460022,554.333008,4793600
2021-04-07,555.229980,569.739990,548.460022,565.739990,565.610352,6282100
2021-04-08,570.109985,578.859985,569.960022,572.679993,572.548767,6110400
2021-04-09,568.559998,576.320007,567.000000,576.000000,575.868042,4879300
2021-04-12,571.590027,614.099976,565.570007,608.359985,608.220581,21733100
2021-04-13,609.260010,628.000000,605.030029,627.179993,627.036316,16905300
2021-04-14,625.000000,628.820007,609.099976,611.080017,610.940002,9637500
2021-04-15,626.500000,648.570007,625.260010,645.489990,645.342102,14962000
2021-04-16,642.119995,646.630005,634.609985,636.500000,636.354187,8380200
2021-04-19,621.460022,632.299988,609.320007,614.469971,614.329163,10110500
2021-04-20,612.929993,619.880005,598.520020,606.849976,606.710938,8353300
2021-04-21,604.750000,614.500000,604.090027,614.419983,614.279236,5419400
2021-04-22,615.000000,617.539978,591.340027,594.010010,593.873901,6944700
2021-04-23,597.369995,613.400024,596.010010,610.609985,610.470093,5687500
2021-04-26,607.400024,619.159973,605.000000,619.119995,618.978149,4944900
2021-04-27,623.140015,626.820007,614.179993,615.270020,615.129028,4114300
2021-04-28,614.580017,621.289978,608.619995,611.070007,610.929993,5235400
2021-04-29,616.000000,617.460022,602.859985,612.989990,612.849548,4329900
2021-04-30,606.979980,614.599976,599.880005,600.380005,600.242432,5047800
2021-05-03,605.000000,609.869995,591.500000,593.469971,593.333984,5097800
2021-05-04,585.489990,585.500000,560.409973,574.049988,573.918457,10133100
2021-05-05,588.359985,592.539978,575.500000,578.340027,578.207520,7300600
2021-05-06,579.809998,582.849976,568.719971,580.919983,580.786865,4834500
2021-05-07,592.330017,598.830017,586.869995,592.489990,592.354248,5733200
2021-05-10,591.489990,592.239990,570.000000,570.630005,570.499268,6722600
2021-05-11,553.000000,574.190002,550.000000,572.250000,572.118896,7139600
2021-05-12,560.380005,570.409973,548.369995,550.340027,550.213928,7585200
2021-05-13,561.349976,563.229980,538.359985,546.609985,546.484741,7135100
2021-05-14,555.599976,573.119995,549.940002,569.719971,569.589417,6465400
2021-05-17,566.280029,566.770020,554.140015,566.619995,566.490173,5424500
2021-05-18,570.679993,576.169983,560.159973,560.630005,560.501526,4656400
2021-05-19,542.659973,563.179993,541.729980,562.630005,562.501099,8600000
2021-05-20,572.099976,587.349976,570.820007,584.500000,584.366089,8039800
2021-05-21,606.549988,608.880005,594.780029,599.669983,599.532593,16824800
2021-05-24,608.500000,629.799988,607.039978,624.479980,624.336914,13870400
2021-05-25,630.640015,632.739990,619.299988,625.909973,625.766541,10885200
2021-05-26,629.369995,631.750000,623.450012,628.000000,627.856140,9261000
2021-05-27,627.989990,630.000000,618.400024,619.520020,619.378052,14536900
2021-05-28,620.039978,651.099976,620.039978,649.780029,649.631165,16113400
2021-06-01,650.799988,655.530029,636.130005,650.580017,650.430969,11820100
2021-06-02,650.090027,676.750000,649.419983,671.130005,670.976257,14854200
2021-06-03,668.030029,690.359985,663.320007,678.789978,678.634460,14500200
2021-06-04,684.500000,706.440002,683.820007,703.130005,702.968933,15428000
2021-06-07,702.849976,712.500000,687.710022,704.760010,704.598511,14393900
2021-06-08,701.090027,704.859985,690.039978,698.280029,698.120056,8096200
2021-06-09,700.630005,703.000000,690.229980,694.330017,694.330017,9541400
2021-06-10,694.000000,699.679993,687.039978,697.000000,697.000000,7194300
2021-06-11,699.179993,717.570007,697.750000,713.010010,713.010010,10407700
2021-06-14,716.239990,721.580017,706.510010,720.750000,720.750000,8034400
2021-06-15,716.599976,720.650024,709.119995,711.539978,711.539978,6075800
2021-06-16,711.630005,718.190002,703.380005,712.409973,712.409973,7678100
2021-06-17,710.979980,753.400024,710.250000,746.289978,746.289978,20241400
2021-06-18,751.359985,775.000000,743.359985,745.549988,745.549988,24221400
2021-06-21,737.409973,741.460022,712.909973,737.090027,737.090027,16809600
2021-06-22,738.859985,758.549988,735.440002,755.469971,755.469971,14503600
2021-06-23,760.309998,766.109985,756.309998,762.289978,762.289978,8308900
2021-06-24,769.109985,776.799988,763.530029,768.219971,768.219971,8023100
2021-06-25,771.219971,773.820007,755.780029,761.239990,761.239990,6959100
2021-06-28,774.450012,803.150024,772.760010,799.400024,799.400024,12385900
2021-06-29,795.299988,803.950012,786.280029,801.070007,801.070007,9190800
2021-06-30,799.969971,806.500000,794.549988,800.099976,800.099976,8164200
2021-07-01,805.000000,818.239990,800.760010,808.479980,808.479980,12003400
2021-07-02,817.609985,820.210022,811.510010,819.479980,819.479980,8569100
2021-07-06,829.500000,833.679993,814.010010,827.940002,827.940002,11167700
2021-07-07,834.140015,835.000000,813.280029,814.869995,814.869995,10460700
2021-07-08,794.260010,805.320007,788.030029,796.109985,796.109985,12582500
2021-07-09,798.500000,803.210022,790.169983,802.010010,802.010010,7410100
